Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",1.95,$243.09M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.12,$1.03B,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.34,$121.44M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.22,$431.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",8.23,$71.81M,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,22.5,$75.42M,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.2649,$42.92M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",31.81,$134.17M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,7.26,$11.22M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",0.28,$4.19M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",3.83,$144.12M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/age
AIRI,Air Industries Group,1,$28.66M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.15,$134.54M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.7278,$61.65M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.6233,$69.64M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.54,$47.85M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,14,$22.25M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,3.95,$85.84M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,98,$58.09M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,3.03,$17.31M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,2.15,$167.25M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.429,$47.92M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
ARNC^,Arconic Inc.,88.0175,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arnc^
ARMP,"Armata Pharmaceuticals, Inc.",2.78,$27.69M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/armp
AKG,Asanko Gold Inc.,0.6002,$135.53M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
AINC,Ashford Inc.,34.2,$84.48M,2014,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/ainc
AUG,Auryn Resources Inc.,1.69,$159.72M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,2.35,$9.11M,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/awx
ASM,Avino Silver,0.52,$33.81M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/asm
BTG,B2Gold Corp,2.91,$2.92B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",3.09,$44.86M,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",13.42,$97.88M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bkj
BCV,Bancroft Fund Limited,22.19,$116.61M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,25.82,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",24.17,$375.23M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",1.12,$9.27M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/brn
BGSF,BG Staffing Inc,18.3,$187.21M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
BIOX,Bioceres Crop Solutions Corp.,5.1747,$186.91M,2018,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/biox
BIOX.WS,Bioceres Crop Solutions Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/biox.ws
BPMX,BioPharmX Corporation,0.8936,$9.55M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/bpmx
BTX,"BioTime, Inc.",1.08,$161.61M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/btx
BGI,Birks Group Inc.,0.91,$16.34M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/bgi
BKTI,BK Technologies Corporation,4.11,$52.21M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",0.937,$8.99M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr
BRG,"Bluerock Residential Growth REIT, Inc.",11.68,$263.21M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.77,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",26.6303,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.87,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brg^d
DMF,BNY Mellon Municipal Income Inc.,8.51,$176.55M,1988,n/a,n/a,https://www.nasdaq.com/symbol/dmf
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bwl.a
CMCL,Caledonia Mining Corporation Plc,6.03,$64.82M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",0.155,$3.1M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,2.96,$9.84M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/canf
ROX,"Castle Brands, Inc.",0.524,$88.64M,2006,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/rox
YCBD,"cbdMD, Inc.",6.06,$167.99M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ycbd
CVM,Cel-Sci Corporation,8.03,$270.63M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,30.22,$770.09M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,3.1,$29.32M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/leu
CHAC,Chardan Healthcare Acquisition Corp.,9.81,$85.84M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/chac
CHAC.U,Chardan Healthcare Acquisition Corp.,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/chac.u
CHAC.WS,Chardan Healthcare Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/chac.ws
CCF,Chase Corporation,103.09,$970.32M,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",41.37,$20.02B,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",68.91,$17.74B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,29.19,$28.2M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.2889,$12.59M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",10.14,$19.7M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ckx
CCC.WS,Clarivate Analytics Plc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ccc.ws
GLV,Clough Global Dividend and Income Fund,11.19,$78.4M,2004,n/a,n/a,https://www.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,12.87,$141.9M,2005,n/a,n/a,https://www.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,9.36,$301.62M,2006,n/a,n/a,https://www.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,4.75,$5.78M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cohn
CIX,CompX International Inc.,14.28,$177.58M,1998,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.19,$15.45M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",8.24,$98.23M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cdor
CTO,Consolidated-Tomoka Land Co.,59.02,$292.18M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cto
MCF,Contango Oil & Gas Company,1.95,$77.74M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mcf
CUO,Continental Materials Corporation,16.49,$28.29M,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cuo
CMT,Core Molding Technologies Inc,7.62,$62.07M,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/cmt
CVRS,"Corindus Vascular Robotics, Inc.",3.13,$646.97M,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cvrs
CRMD,CorMedix Inc.,7.97,$189.8M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",11.37,$437.67M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",11.7,$851.91M,1987,n/a,n/a,https://www.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",8.51,$100.58M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.09,$161.62M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,2.5,$258.66M,1998,n/a,n/a,https://www.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,2.95,$210.69M,2015,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/crhm
CTEK,"CynergisTek, Inc.",4.85,$47.4M,2017,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,8.03,$30.09M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.426,$69.78M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.11,$59.37M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",12.8,$147.26M,1993,n/a,n/a,https://www.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",23.76,$164.79M,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.5393,$317.95M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/dnn
DGSE,"DGSE Companies, Inc.",1.33,$35.81M,n/a,Consumer Services,Consumer Specialties,https://www.nasdaq.com/symbol/dgse
DSS,"Document Security Systems, Inc.",0.47,$8.46M,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/dss
DPW,"DPW Holdings, Inc.",0.15,$5.66M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dpw
DXF,Dunxin Financial Holdings Limited,2.13,$44.41M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/dxf
GRF,"Eagle Capital Growth Fund, Inc.",7.75,$30.17M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,10.97,$276.63M,2002,n/a,n/a,https://www.nasdaq.com/symbol/evm
CEV,Eaton Vance California Municipal Income Trust,12.37,$88.24M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,12.71,$1.48B,2003,n/a,n/a,https://www.nasdaq.com/symbol/evv
EIM,Eaton Vance Municipal Bond Fund,12.42,$999.47M,2002,n/a,n/a,https://www.nasdaq.com/symbol/eim
ENX,Eaton Vance New York Municipal Bond Fund,12.06,$218.51M,2002,n/a,n/a,https://www.nasdaq.com/symbol/enx
EVY,Eaton Vance New York Municipal Income Trust,12.92,$70.34M,1999,n/a,n/a,https://www.nasdaq.com/symbol/evy
ELMD,"Electromed, Inc.",5.48,$46.08M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,10.25,$109.46M,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,10.19,$132.71M,1986,n/a,n/a,https://www.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.1952,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,0.478,$23.51M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,1.05,$22.09M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,1.2122,$99.28M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,3.23,$302.06M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/uuuu.ws
ENSV,ENSERVCO Corporation,0.4543,$24.67M,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ensv
EGI,Entree Resources Ltd.,0.3243,$56.71M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/egi
ESP,Espey Mfg. & Electronics Corp.,25,$60.02M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",34.22,$167.11M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/evbn
EVI,"EVI Industries, Inc.",33.9,$397.86M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evi
EPM,"Evolution Petroleum Corporation, Inc.",6.88,$228.32M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/epm
FEN,First Trust Energy Income and Growth Fund,22.11,$441.85M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",22.51,$41.84M,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,3.75,$44.01M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,9.65,$290.84M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,7.58,$812.81M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,6.83,$47.87M,n/a,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd
FTNW,"FTE Networks, Inc.",1.4,$34.41M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.54,$618.93M,2005,n/a,n/a,https://www.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.2135,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggn^b
JOB,GEE Group Inc.,0.88,$10.61M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.3542,$42.62M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",10.76,$185.27M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",0.5549,$804.67M,2006,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat
GLOW,"Glowpoint, Inc.",0.85,$4.33M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,3.28,$204.71M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,1,$260.04M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.257,$24.99M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",4.35,$473.57M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),2.32,$56.89M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,12.31,$149.6M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,1.74,$672.22M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte
GPL,Great Panther Mining Limited,0.8274,$230.52M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",8.09,$1.33B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim
HEB,"Hemispherx BioPharma, Inc.",4.16,$9.15M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb
HEXO,HEXO Corp.,5.59,$1.44B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/hexo
HLM^,Hillman Group Capital Trust,33.48,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",13.17,$13.35M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.2161,$13.51M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa
IBIO,"iBio, Inc.",0.765,$15.07M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibo
IEC,IEC Electronics Corp.,6.37,$65.69M,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec
IMH,"Impac Mortgage Holdings, Inc.",3.13,$66.3M,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh
